Device,TestName,Date,X-Position1,Y-Position1,Z-Position1,X-Rotation1,Y-Rotation1,Z-Rotation2,X-Position2,Y-Position2,Z-Position2,X-Rotation2,Y-Rotation2,Z-Rotation2,X-Position3,Y-Position3,Z-Position3,X-Rotation3,Y-Rotation3,Z-Rotation3
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674328,-1.043285,6.648025,-0.6880999,0.194302,0.188244,1.075733,-1.320229,7.142138,-0.6973433,0.1599163,0.1674684,0.7138371,-1.321452,7.338227,-0.6979501,0.1738589,0.1744292
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674426,-1.043411,6.647941,-0.6882274,0.1943027,0.188322,1.075834,-1.320438,7.142412,-0.6973759,0.1598231,0.1673283,0.7138066,-1.321449,7.33817,-0.697868,0.1739812,0.1745722
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674659,-1.043234,6.648123,-0.6882404,0.1943664,0.1882965,1.075749,-1.32033,7.142211,-0.697166,0.1598011,0.1677008,0.7139484,-1.321597,7.338006,-0.6978066,0.1742888,0.1744482
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5675072,-1.043371,6.648015,-0.6882294,0.1944245,0.1882272,1.075715,-1.320329,7.14216,-0.6972087,0.1598046,0.1676352,0.7137837,-1.321581,7.338044,-0.6974056,0.1748358,0.1743065
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674289,-1.043207,6.648147,-0.6881565,0.1944058,0.1881346,1.075918,-1.320486,7.142337,-0.6973226,0.1597303,0.1674484,0.7139395,-1.32184,7.337715,-0.6971685,0.1750906,0.1742822
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5676569,-1.04321,6.648076,-0.6881843,0.194444,0.1881852,1.075841,-1.320471,7.142403,-0.6973119,0.1598153,0.1673938,0.713715,-1.321438,7.338099,-0.6975672,0.1746392,0.1741822
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674489,-1.04331,6.648069,-0.6882478,0.1943857,0.1883055,1.075789,-1.32028,7.142422,-0.6973141,0.1597411,0.1671649,0.7138424,-1.321456,7.338046,-0.6975294,0.174591,0.1742762
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5675474,-1.043282,6.648058,-0.6883182,0.19438,0.1882589,1.075837,-1.320411,7.142136,-0.6971272,0.159793,0.1675353,0.7138155,-1.321311,7.338153,-0.6976264,0.174454,0.1741828
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5674357,-1.043322,6.648075,-0.6882662,0.1943978,0.1883109,1.075646,-1.320275,7.142244,-0.6969562,0.1598294,0.1677279,0.7138421,-1.321393,7.338229,-0.6974903,0.1745269,0.1744726
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5674971,-1.04338,6.648072,-0.6882126,0.1944611,0.1880785,1.075743,-1.320593,7.142373,-0.6970557,0.159759,0.1675808,0.7138878,-1.321507,7.338166,-0.6976416,0.174218,0.1744397
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5675409,-1.043361,6.648106,-0.6880625,0.194518,0.1881484,1.075854,-1.320403,7.142232,-0.6974229,0.1596514,0.1671892,0.7139301,-1.321717,7.337954,-0.6976272,0.1742993,0.1743796
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5675626,-1.043259,6.648108,-0.6880392,0.1945014,0.1881451,1.075825,-1.320179,7.141957,-0.6973504,0.159726,0.1672937,0.713845,-1.321452,7.338105,-0.6979215,0.1740922,0.1743908
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5674599,-1.043203,6.648098,-0.688063,0.1944716,0.1881204,1.075752,-1.320432,7.142371,-0.697144,0.1597642,0.1673982,0.7138953,-1.321484,7.338278,-0.6977971,0.17428,0.1744403
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5675914,-1.043316,6.648138,-0.6879512,0.1945017,0.188116,1.075814,-1.320091,7.141976,-0.6971569,0.1598586,0.1672504,0.7137853,-1.32151,7.338133,-0.6981128,0.1737777,0.174424
